id,City
0,Amsterdam
1,Amsterdam Zuid-Oost
2,Amsterdam-Zuidoost
3,Berlin
4,Barcelona
5,barcelona
6,Athina
7,Αθήνα
8,Athens
9,Antwerpen
10,Antwerp
11,Барселона
12,L'Hospitalet de Llobregat
13,"Barcelona, Catalunya, ES"
14,Etterbeek
15,Evere
16,Forest
17,Ganshoren
18,Saint-Gilles
19,Bruxelles
20,Brussels
21,Anderlecht
22,Auderghem
23,Brussel
24,Sint-Jans-Molenbeek
25,Uccle
26,City of Brussels
27,Ville de Bruxelles
28,Ixelles
29,Jette
30,Koekelberg
31,Boston
32,Chicago
33,Oak Park
34,Schaerbeek
35,Woluwe-Saint-Lambert
36,Woluwé-Saint-Lambert
37,Woluwe-Saint-Pierre
38,Somerville
39,København
40,Copenhagen
41,Hellerup
42,København K
43,Frederiksberg
44,København N
45,London
46,Camberwell
47,London Borough of Southwark
48,Greater London
49,Waterloo
50,Edinburgh
51,Genève
52,Geneva
53,Carouge
54,Plan-les-Ouates
55,Barnet
56,New Barnet
57,Woodford
58,Chigwell
59,Sutton
60,Ilford
61,Edgware
62,South Pasadena
63,Los Angeles
64,Studio City
65,Los Angeles County
66,Santa Monica
67,Walnut
68,Rowland Heights
69,San Gabriel
70,Pasadena
71,Altadena
72,Lawndale
73,Redondo Beach
74,Rosemead
75,Pico Rivera
76,Palos Verdes Estates
77,Rush
78,Dublin
79,Santry
80,Churchtown
81,Lucan
82,Howth
83,Swords
84,Malahide
85,Ballinteer
86,Central
87,Hong Kong
88,Sheung Wan
89,Hong Kong Island
90,Vernier
91,Chêne-Bourg
92,Chêne-Bougeries
93,Onex
94,Jordan
95,"Hong Kong, Hong Kong"
96,Rathgar
97,Ballsbridge
98,Rathmines
99,Ringsend
100,Dublin 7
101,Dublín
102,Glasnevin
103,Dublin 2
104,Dublin 8
105,Sandymount
106,Drumcondra
107,Kimmage
108,Drimnagh
109,Dublin 1
110,Ranelagh
111,Cabra
112,Donaghmede
113,Edimburgo
114,Artane
115,Isleworth
116,Hounslow
117,Brentford
118,伦敦
119,Poplar
120,Azusa
121,Playa Del Rey
122,Arcadia
123,Avalon
124,london
125,West Hollywood
126,Beverly Hills
127,LONDON
128,Agoura Hills
129,Alhambra
130,Valley Village
131,Lewisham
132,Hampton
133,Richmond
134,Twickenham
135,Morden
136,Bromley
137,Teddington
138,Mong Kok
139,Mongkok
140,尖沙咀
141,香港香港
142,Mong kok
143,旺角
144,Yau Tsim Mong District
145,Tsim Sha Tsui
146,Beckenham
147,Orpington
148,Feltham
149,Kingston upon Thames
150,New Malden
151,South Croydon
152,Croydon
153,Thornton Heath
154,Purley
155,香港
156,Wan Chai
157,Hung Hom
158,Islands District
159,Causeway Bay
160,Wembley
161,Ealing
162,Greenford
163,Southall
164,Hayes
165,Ruislip
166,West Drayton
167,Northolt
168,Uxbridge
169,Harrow
170,Pinner
171,Stanmore
172,Romford
173,Frederiksberg C
174,København V
175,København Ø
176,Londra
177,Kensington
178,København NV
179,Copenhagen S
180,København S
181,Denver
182,Vanløse
183,Clontarf
184,Londres
185,Madrid
186,North Hollywood
187,Venice
188,Marina del Rey
189,Temple City
190,Topanga
191,Llucmajor
192,Cala Llombards
193,Alcúdia
194,Puerto de Alcudia
195,Port d'Alcúdia
196,Santanyí
197,Cala Figuera
198,Colònia de Sant Jordi
199,Ses Salines
200,Sa Ràpita
201,Campos
202,Illes Balears
203,Cas Concos des Cavaller
204,Portocolom
205,S'Horta
206,Felanitx
207,Cala Ferrera
208,Can Picafort
209,Son Serra de Marina
210,Santa Margalida
211,Maria de la Salut
212,Costitx
213,Sencelles
214,Valby
215,Lambeth
216,Hollywood
217,Gardena
218,Glendale
219,Glendora
220,Pomona
221,Hacienda Heights
222,Hermosa Beach
223,El Segundo
224,Inglewood
225,La Verne
226,Hawthorne
227,View Park-Windsor Hills
228,Lancaster
229,Carson
230,Culver City
231,Burbank
232,Lomita
233,Long Beach
234,Malibu
235,London Borough of Islington
236,Hackney
237,London Borough of Hackney
238,Islington
239,Monrovia
240,Monterey Park
241,Montebello
242,Manhattan Beach
243,Belvedere
244,Hammersmith
245,Wimbledon
246,Mitcham
247,London Borough of Wandsworth
248,Saint-Josse-ten-Noode
249,Claremont
250,Covina
251,El Monte
252,Diamond Bar
253,Downey
254,Sherman Oaks
255,Venice Beach
256,Whittier
257,Torrance
258,Southbank
259,East Melbourne
260,Melbourne
261,North Melbourne
262,Carlton
263,Docklands
264,Pollensa
265,Pollença
266,Port de Pollença
267,Fornalutx
268,Escorca
269,Esporles
270,Rotes Velles
271,Calvià
272,Santa Ponça
273,Magaluf
274,Portals Nous
275,Andratx
276,Port d'Andratx
277,Santa Maria del Camí
278,Santa Ponsa
279,South Yarra
280,Windsor
281,Malvern
282,Saint Kilda
283,Balaclava
284,St Kilda
285,Elwood
286,St Kilda West
287,Saint Kilda West
288,Port Melbourne
289,South Melbourne
290,Albert Park
291,West Melbourne
292,St Kilda East
293,Saint Kilda East
294,Montreal
295,Montréal
296,Kew
297,Balwyn North
298,Surrey Hills
299,Hawthorn
300,Glen Iris
301,Parkville
302,Carlton North
303,Nashville
304,Collingwood
305,Fitzroy
306,Princes Hill
307,Fitzroy North
308,Clifton Hill
309,Cremorne
310,Badger Creek
311,Healesville
312,Warburton
313,Sassafras
314,Yarra Glen
315,Box Hill
316,Forest Hill
317,Warrandyte
318,Caroline Springs
319,Lilydale
320,Upwey
321,Kallista
322,Brighton East
323,Beaumaris
324,Brighton
325,Travancore
326,Maribyrnong
327,Footscray
328,Seddon
329,Hughesdale
330,Glen Waverley
331,Bentleigh
332,Carnegie
333,Murrumbeena
334,Brunswick
335,Hadfield
336,Coburg
337,Brunswick West
338,Prahran
339,Toorak
340,New Orleans
341,Westmount
342,Palma
343,Palma de Mallorca
344,Can Pastilla
345,Soller
346,Sóller
347,Port de Sóller
348,Gènova
349,Algaida
350,Balearic Islands
351,Montuïri
352,Sant Joan
353,Caimari
354,Selva
355,Moscari
356,Inca
357,Lloseta
358,Mancor de la Vall
359,Muro
360,Sa Pobla
361,Port d´Alcudia
362,Mal Pas-Bon Aire
363,Valldemossa
364,Campanet
365,Manchester
366,Colonia de Sant Pere
367,Artà
368,Betlem
369,Arta
370,Cala Ratjada
371,Capdepera
372,"Madrid, Comunidad de Madrid, ES"
373,Spotswood
374,Altona
375,Newport
376,Highett
377,Mordialloc
378,Clayton South
379,Parkdale
380,Point Cook
381,Truganina
382,Williams Landing
383,Roxburgh Park
384,Sunbury
385,S'Illot
386,Sant Llorenç des Cardassar
387,Son Servera
388,Cala Millor
389,Santanyi
390,Manacor
391,Cala Mendia
392,Porto Cristo
393,Greensborough
394,Northcote
395,Preston
396,Reservoir
397,Thornbury
398,Biniali
399,Sineu
400,Vilafranca de Bonany
401,Abbotsford
402,Brunswick East
403,Pascoe Vale South
404,Emerald
405,Pakenham
406,Dollard-des-Ormeaux
407,Côte Saint-Luc
408,Queenscliff
409,Freshwater
410,Killarney Heights
411,Dee Why
412,Brookvale
413,Collaroy Plateau
414,Neutral Bay
415,Crows Nest
416,North Sydney
417,Lavender Bay
418,Cremorne Point
419,Kirribilli
420,Wollstonecraft
421,Waverton
422,Kurraba Point
423,St Leonards
424,Riverwood
425,Earlwood
426,Homebush
427,Strathfield
428,Sydney Olympic Park
429,Wentworth Point
430,Carlingford
431,Hunters Hill
432,Erskineville
433,Darlington
434,Surry Hills
435,Chippendale
436,Sydney
437,Camperdown
438,Forest Lodge
439,Newtown
440,Alexandria
441,Potts Point
442,Elizabeth Bay
443,Darlinghurst
444,Glebe
445,Redfern
446,Rosebery
447,Rushcutters Bay
448,Paddington
449,Bondi
450,Bondi Junction
451,Bondi Beach
452,Bronte
453,Rose Bay
454,North Bondi
455,Toronto
456,Manly Vale
457,North Curl Curl
458,Frenchs Forest
459,Beacon Hill
460,Belrose
461,Greenwich
462,Venezia
463,Lido
464,Lido di Venezia
465,Vienna
466,Wien
467,Mestre Venezia
468,Mestre
469,Queens Park
470,Randwick
471,Coogee
472,Clovelly
473,South Coogee
474,Kingsford
475,Palm Beach
476,Elanora Heights
477,Clareville
478,Mona Vale
479,Seattle
480,Avalon Beach
481,Maroubra
482,Malabar
483,Tamarama
484,Waverley
485,Dover Heights
486,Vaucluse
487,Rhodes
488,Manly
489,Balgowlah
490,Fairlight
491,Roseville
492,Wahroonga
493,Turramurra
494,Chatswood
495,Northbridge
496,Artarmon
497,Mosman
498,Bellevue Hill
499,Burwood
500,Enfield
501,Double Bay
502,Darling Point
503,Woollahra
504,Roma
505,Rome
506,San Diego
507,Del Mar
508,La Jolla
509,San Francisco
510,Capitola
511,Santa Cruz
512,Los Gatos
513,Watsonville
514,Aptos
515,Soquel
516,Trento
517,Folgaria
518,Campo Carlo Magno
519,Vancouver
520,Rovereto
521,Ledro
522,Canazei
523,San Martino di Castrozza
524,Levico Terme
525,Panchià
526,Arco
527,Riva del Garda
528,Alba-penia
529,Pyrmont
530,Zetland
531,Ultimo
532,Haymarket
533,Woolloomooloo
534,Merrylands
535,Summer Hill
536,Ashfield
537,Marrickville
538,Sydenham
539,Dulwich Hill
540,Parramatta
541,Marsfield
542,Ryde
543,Gladesville
544,West Ryde
545,Meadowbank
546,Leichhardt
547,Lilyfield
548,Rozelle
549,Balmain
550,Birchgrove
551,Annandale
552,Thornleigh
553,Epping
554,Cherrybrook
555,Lindfield
556,Gordon
557,Millers Point
558,Centennial Park
559,Botany
560,Mascot
561,Blacktown
562,Toongabbie
563,Enmore
564,Tempe
565,St Peters
566,Cronulla
567,Bundeena
568,Caringbah South
569,Brighton-Le-Sands
570,Sans Souci
571,Wolli Creek
572,Rockdale
573,Hurstville
574,Kogarah
575,North Manly
576,Collaroy
577,Lane Cove
578,Lane Cove North
579,Saint Leonards
580,Milsons Point
581,Little Bay
582,Paris
583,Paris-20E-Arrondissement
584,Paris-11E-Arrondissement
585,Paris-13E-Arrondissement
586,Paris-15E-Arrondissement
587,Paris-16E-Arrondissement
588,Boulogne-Billancourt
589,Paris-3E-Arrondissement
590,Notting Hill
591,London Borough of Tower Hamlets
592,Copenhagen N
593,South Gate
594,venice
595,West Covina
596,Wandsworth
597,Rancho Palos Verdes
598,San Pedro
599,Santa Clarita
600,San Dimas
601,Sidcup
602,Bexleyheath
603,Hampton Wick
604,Woodland Hills
605,La Puente
606,Dagenham
607,Barking
608,Sierra Madre
609,LLucmajor
610,Cala Pi
611,Deià
612,Deia
613,Cala Santanyí
614,Alcudia
615,Cielo de Bonaire
616,Canyamel
617,Bunyola
618,Illetes
619,Santa Eugènia
620,马德里
621,Cala Mesquida
622,Cales de Mallorca
623,Sa Coma
624,El Arenal
625,Vallgornera
626,Cala Sant Vicenç
627,Cas Català
628,El Toro
629,Costa de la Calma
630,Sol de Mallorca
631,"Palma, Illes Balears, ES"
632,Palma (Mallorca)
633,Llubí
634,Alaró
635,Ariany
636,Porreres
637,Coburg North
638,Box Hill North
639,Hawthorn East
640,Middle Park
641,Hoppers Crossing
642,Westmeadows
643,Williamstown
644,La Cañada Flintridge
645,Lakewood
646,Palmdale
647,Yarraville
648,West Footscray
649,Clayton
650,Ashwood
651,Oakleigh East
652,Mentone
653,Cheltenham
654,Ascot Vale
655,Moonee Ponds
656,Narre Warren
657,Caulfield North
658,Elsternwick
659,Caulfield South
660,Armadale
661,Brentwood
662,Cockatoo
663,Rosanna
664,Bundoora
665,Fairfield
666,Seaford
667,Frankston South
668,Blackburn
669,Doncaster East
670,Balwyn
671,Watermael-Boitsfort
672,Schaarbeek
673,Ukkel
674,Molenbeek-Saint-Jean
675,Brookline
676,Dorchester
677,Berchem-Sainte-Agathe
678,Putney
679,Carshalton
680,Milltown
681,Castleknock
682,Fairview
683,Finglas
684,Blackrock
685,Dalkey
686,Clonskeagh
687,Dundrum
688,Queensferry
689,Thônex
690,Sham Shui Po
691,Yau Ma Tei
692,Donnybrook
693,Crumlin
694,香港島
695,Happy Valley
696,Lantau Island
697,Chiswick
698,Surbiton
699,Brent
700,Kowloon
701,Perivale
702,London Borough of Camden
703,Welling
704,"London, England, GB"
705,La Habra Heights
706,Calabasas
707,Lido di Ostia
708,Municipio Roma X
709,Chula Vista
710,Portland
711,Québec City
712,Québec
713,Ville de Québec
714,Quebec City
715,Quebec
716,Ben Lomond
717,Washington
718,Lane Cove West
719,Cammeray
720,Seaforth
721,Balgowlah Heights
722,Edgecliff
723,Croydon Park
724,Brez
725,Carisolo
726,Mezzana
727,Campitello di Fassa
728,Madonna di Campiglio
729,Nago-torbole
730,Matraville
731,Chifley
732,Scotts Valley
733,Warriewood
734,Great Mackerel Beach
735,Scotland Island
736,Bayview
737,Forestville
738,Narrabeen
739,Cromer
740,Curl Curl
741,North Balgowlah
742,Allambie Heights
743,Beaconsfield
744,Killara
745,Willoughby
746,Naremburn
747,Hurlstone Park
748,Petersham
749,Glenwood
750,Caringbah
751,Arncliffe
752,Bexley
753,Eastwood
754,North Parramatta
755,Macquarie Park
756,Revesby
757,Canterbury
758,Auburn
759,Kellyville
760,Baulkham Hills
761,Hornsby
762,West Pennant Hills
763,Drummoyne
764,Campbelltown
765,"Washington, D.C."
766,Watsons Bay
767,North York
768,McMahons Point
769,Panania
770,Bankstown
771,Campsie
772,Homebush West
773,The Rocks
774,Pinzolo
775,Cavalese
776,Marilleva 1400
777,Vigo di Fassa
778,Tesero
779,North Narrabeen
780,Bilgola Plateau
781,Felton
782,Eastgardens
783,Eastlakes
784,Monterey
785,Miranda
786,Dundas Valley
787,Haberfield
788,Balmain East
789,Five Dock
790,Waitara
791,Brooklyn
792,Pymble
793,Saint Ives
794,Capitol Heights
795,Costa d'en Blanes
796,Peguera
797,Torrenova
798,Dandenong
799,Werribee
800,Craigieburn
801,Malvern East
802,Flemington
803,Ormond
804,McKinnon
805,Caulfield
806,Glenroy
807,Vermont South
808,Doncaster
809,Kalorama
810,Mount Dandenong
811,Signal Hill
812,Van Nuys
813,Hampstead
814,Dorval
815,Pointe-Claire
816,Urbanització s'Estanyol
817,S'Illot-Cala Morlanda
818,Ses Covetes
819,Sa Torre
820,S'Estanyol de Migjorn
821,Frankston
822,Heidelberg
823,Ivanhoe
824,Alphington
825,La Puebla
826,Sant Elm
827,Palmanova
828,Petra
829,Lloret de Vistalegre
830,Maidstone
831,Braybrook
832,Cerritos
833,Compton
834,Lynwood
835,Topanga Canyon
836,Acilia-castel Fusano-ostia Antica
837,Acilia-Castel Fusano-Ostia Antica
838,roma
839,Jamaica Plain
840,Roxbury Crossing
841,Allston
842,Cambridge
843,Teach Mealóg
844,Clondalkin
845,Portmarnock
846,Dun Laoghaire
847,Irishtown
848,Dolphins Barn
849,Grand-Lancy
850,Bellevue
851,Le Grand-Saconnex
852,Discovery Bay
853,油麻地
854,Northwood
855,Gaillard
856,Collonge-Bellerive
857,Sai Ying Pun
858,"Hong-Kong, Hong Kong"
859,Dublin 4
860,Sint-Gillis
861,Vorst
862,København SV
863,Copenhagen V
864,La Mirada
865,Mar Vista
866,Verdun
867,Mallorca
868,Palma de mallorca
869,Búger
870,Playa de Muro
871,Port des Canonge
872,Noble Park
873,Wyndham Vale
874,Portopetro
875,Bellflower
876,Binissalem
877,Estellencs
878,Es Pelats
879,Son Moll
880,Mount Waverley
881,Essendon
882,Altona North
883,Bayswater
884,Glen Huntly
885,Bentleigh East
886,Olinda
887,Camden Town
888,Porto Cristo Novo
889,Cala Murada
890,Consell
891,Banyalbufar
892,Palmanyola
893,Urbanització Montferrutx
894,Cala Lliteres
895,S'Alqueria Blanca
896,Puigpunyent
897,Puerto Pollença
898,Pollensa / Pollença
899,Marratxí
900,Westlake Village
901,Norwalk
902,San Fernando
903,Hampton Hill
904,Stevenson Ranch
905,Mont Albert
906,Templestowe
907,Ripponlea
908,Wheelers Hill
909,Chadstone
910,Sunshine
911,Wantirna South
912,Eltham
913,Sandringham
914,Aspendale
915,Tullamarine
916,La Crescenta-Montrose
917,long beach
918,Erith
919,Andalo
920,Malè
921,Tenno
922,Bilgola Beach
923,Folgarida
924,Predazzo
925,Boulder Creek
926,Penshurst
927,Westmead
928,North Ryde
929,Penrith
930,North Strathfield
931,Beecroft
932,Sandyford
933,Killiney
934,Stepaside
935,Donabate
936,Skerries
937,Kennedy Town
938,佐敦
939,九龍
940,Brønshøj
941,Brixton
942,Ringwood
943,Ferntree Gully
944,Rowville
945,Belgrave
946,Kastrup
947,Barcelone
948,Charlestown
949,Saint Peters
950,Lavis
951,Molveno
952,Fiera di Primiero
953,Piana del Sole
954,Pacific Palisades
955,Blanchardstown
956,Meyrin
957,Sa Vileta-Son Rapinya
958,Puerto Pollensa
959,Es Llombards
960,Cala D'or
961,Saint Albans
962,Bonbeach
963,Keysborough
964,HK
965,Puigderrós
966,Buger
967,S'Arracó
968,North Point
969,Wanchai
970,Chislehurst
971,Hornchurch
972,Stratford
973,Shenzhen
974,Harlington
975,Chelsea
976,Edithvale
977,Berwick
978,Platja de Muro
979,Elsene
980,Versoix
981,Son Carrió
982,Duarte
983,Marratxinet
984,Burnley
985,Heidelberg Heights
986,Arenal
987,Box Hill South
988,Yarra Junction
989,Raheny
990,Baldoyle
991,Wallington
992,Cologny
993,Font de Sa Cala
994,Biniamar
995,Llubi
996,Hong kong
997,New York
998,Elmhurst
999,Queens
1000,East Elmhurst
1001,Bronx
1002,Corona
1003,Flushing
1004,Paris-19E-Arrondissement
1005,Paris-7E-Arrondissement
1006,Le Pré-Saint-Gervais
1007,Arverne
1008,Astoria
1009,Long Island City
1010,brooklyn
1011,Lancy
1012,Forest Hills
1013,flushing
1014,Staten Island
1015,Woodside
1016,Jamaica
1017,Ridgewood
1018,Oakland
1019,Paris-17E-Arrondissement
1020,Levallois-Perret
1021,Newrybar
1022,Skennars Head
1023,Ballina
1024,Lismore
1025,Suffolk Park
1026,Byron Bay
1027,Brunswick Heads
1028,Paris-12E-Arrondissement
1029,PARIS
1030,Ewingsdale
1031,Bangalow
1032,Myocum
1033,Ocean Shores
1034,South Golden Beach
1035,Pottsville
1036,Kingscliff
1037,Coopers Shoot
1038,Wilsons Creek
1039,Clunes
1040,Emeryville
1041,Cala Blava
1042,Orient
1043,paris
1044,Coorabell
1045,The Pocket
1046,Yamba
1047,Banora Point
1048,Tweed Heads
1049,Paris-9E-Arrondissement
1050,Paris-10E-Arrondissement
1051,Neuilly-sur-Seine
1052,Sutherland
1053,Turrella
1054,深圳市
1055,Worcester Park
1056,Hillsdale
1057,MONG KOK
1058,Moena
1059,Belmore
1060,Vaughan
1061,Castle Hill
1062,Northmead
1063,Guildford
1064,Carano
1065,Ziano di Fiemme
1066,Lennox Head
1067,Possum Creek
1068,Goonengerry
1069,New Brighton
1070,Piedmont
1071,Berkeley
1072,Mullumbimby
1073,Casuarina
1074,Fingal Head
1075,Sunnyside
1076,Rego Park
1077,Far Rockaway
1078,Jackson Heights
1079,Paris-6E-Arrondissement
1080,Paris-8E-Arrondissement
1081,Paris-1ER-Arrondissement
1082,Paris-14E-Arrondissement
1083,深圳
1084,Bray
1085,Long Island city
1086,Federal
1087,East Ballina
1088,Paris-2E-Arrondissement
1089,Whale Beach
1090,Cala Agulla
1091,Yau Tsim Mong
1092,Passo del Tonale
1093,Paris-5E-Arrondissement
1094,Glenfield
1095,South Wentworthville
1096,Cogolo
1097,维也纳
1098,Baselga di Piné
1099,Ca´n Picafort
1100,Pozza di Fassa
1101,Issy-les-Moulineaux
1102,Saint-Mandé
1103,Broken Head
1104,Bushwick
1105,NY
1106,Grafton
1107,Rosebank
1108,Montrouge
1109,Mullumbimby Creek
1110,Austin
